week,total
2011 / week:52,710152.263184
2012 / week:1,9046319.73877
2012 / week:10,9759697.74536
2012 / week:11,9905366.72485
2012 / week:12,10142584.5176
2012 / week:13,9856930.6438
2012 / week:14,9237536.09082
2012 / week:15,9484151.0354
2012 / week:16,9642888.06421
2012 / week:17,9557818.52466
2012 / week:18,10107698.9536
2012 / week:19,9871003.43433
2012 / week:2,9754517.24634
2012 / week:20,10170942.1814
2012 / week:21,10173254.1321
2012 / week:22,9472796.70825
2012 / week:23,10121095.5583
2012 / week:24,10545315.8262
2012 / week:25,10786589.6731
2012 / week:26,10629275.4258
2012 / week:27,10157351.5879
2012 / week:28,10915923.4353
2012 / week:29,11146967.1606
2012 / week:3,10244015.946
2012 / week:30,11317794.1143
2012 / week:31,11485154.8208
2012 / week:32,11239285.8523
2012 / week:33,11203679.7039
2012 / week:34,10573314.4041
2012 / week:35,11271812.0298
2012 / week:36,10783246.9875
2012 / week:37,10889711.3979
2012 / week:38,10284962.8926
2012 / week:39,10036159.4792
2012 / week:4,10149712.7114
2012 / week:40,9894302.15356
2012 / week:41,9818266.50586
2012 / week:42,9818305.92432
2012 / week:43,9894026.1604
2012 / week:44,9493668.77441
2012 / week:45,9984618.44482
2012 / week:46,10003533.4243
2012 / week:47,7907740.19141
2012 / week:48,9630214.3623
2012 / week:49,9672677.91699
2012 / week:5,10057089.1624
2012 / week:50,9768154.32324
2012 / week:51,9739730.96997
2012 / week:52,7476538.55859
2012 / week:6,10052638.7393
2012 / week:7,10050278.728
2012 / week:8,9880082.85889
2012 / week:9,9791235.2146
2013 / week:1,1181829.37793
