week,total
1,10228149.1167
2,9754517.24634
3,10244015.946
4,10149712.7114
5,10057089.1624
6,10052638.7393
7,10050278.728
8,9880082.85889
9,9791235.2146
10,9759697.74536
11,9905366.72485
12,10142584.5176
13,9856930.6438
14,9237536.09082
15,9484151.0354
16,9642888.06421
17,9557818.52466
18,10107698.9536
19,9871003.43433
20,10170942.1814
21,10173254.1321
22,9472796.70825
23,10121095.5583
24,10545315.8262
25,10786589.6731
26,10629275.4258
27,10157351.5879
28,10915923.4353
29,11146967.1606
30,11317794.1143
31,11485154.8208
32,11239285.8523
33,11203679.7039
34,10573314.4041
35,11271812.0298
36,10783246.9875
37,10889711.3979
38,10284962.8926
39,10036159.4792
40,9894302.15356
41,9818266.50586
42,9818305.92432
43,9894026.1604
44,9493668.77441
45,9984618.44482
46,10003533.4243
47,7907740.19141
48,9630214.3623
49,9672677.91699
50,9768154.32324
51,9739730.96997
52,8186690.82178
