week,industry,total
2011 / week:52,Education,159.180879201
2011 / week:52,Commercial Property,947.313665197
2011 / week:52,Food Sales & Storage,418.070729113
2011 / week:52,Light Industrial,949.832707103
2012 / week:1,Commercial Property,2025.21398354
2012 / week:1,Education,251.975385181
2012 / week:1,Food Sales & Storage,422.215799089
2012 / week:1,Light Industrial,1787.85654492
2012 / week:10,Light Industrial,1936.71361178
2012 / week:10,Commercial Property,2228.56979473
2012 / week:10,Education,253.823559568
2012 / week:10,Food Sales & Storage,422.012817776
2012 / week:11,Commercial Property,2260.80175715
2012 / week:11,Light Industrial,1985.54299273
2012 / week:11,Food Sales & Storage,428.082380461
2012 / week:11,Education,238.949133483
2012 / week:12,Food Sales & Storage,427.269242786
2012 / week:12,Education,242.377507024
2012 / week:12,Commercial Property,2342.51864128
2012 / week:12,Light Industrial,2018.87838957
2012 / week:13,Light Industrial,1982.4807092
2012 / week:13,Education,256.268141247
2012 / week:13,Commercial Property,2226.39075258
2012 / week:13,Food Sales & Storage,424.210787607
2012 / week:14,Education,200.337310216
2012 / week:14,Food Sales & Storage,420.755035264
2012 / week:14,Commercial Property,2090.78194588
2012 / week:14,Light Industrial,1870.23673351
2012 / week:15,Commercial Property,2122.1566391
2012 / week:15,Food Sales & Storage,423.247424262
2012 / week:15,Education,241.125211496
2012 / week:15,Light Industrial,1917.91066173
2012 / week:16,Light Industrial,1949.538684
2012 / week:16,Education,255.413441268
2012 / week:16,Food Sales & Storage,451.812255769
2012 / week:16,Commercial Property,2126.41414394
2012 / week:17,Commercial Property,2127.67831808
2012 / week:17,Education,255.503931643
2012 / week:17,Food Sales & Storage,438.914548117
2012 / week:17,Light Industrial,1918.8845698
2012 / week:18,Education,283.666232374
2012 / week:18,Light Industrial,2017.72290536
2012 / week:18,Commercial Property,2265.54449481
2012 / week:18,Food Sales & Storage,446.805874461
2012 / week:19,Education,285.129939208
2012 / week:19,Light Industrial,1942.08580671
2012 / week:19,Food Sales & Storage,451.98763151
2012 / week:19,Commercial Property,2217.12765727
2012 / week:2,Light Industrial,1886.78232453
2012 / week:2,Education,283.33870672
2012 / week:2,Food Sales & Storage,419.035906958
2012 / week:2,Commercial Property,2249.39320925
2012 / week:20,Light Industrial,1970.55654023
2012 / week:20,Commercial Property,2315.0226834
2012 / week:20,Food Sales & Storage,456.27724752
2012 / week:20,Education,303.253801656
2012 / week:21,Commercial Property,2271.61571509
2012 / week:21,Light Industrial,1998.13373251
2012 / week:21,Food Sales & Storage,469.511080394
2012 / week:21,Education,306.99641479
2012 / week:22,Commercial Property,2036.82648958
2012 / week:22,Food Sales & Storage,478.375592171
2012 / week:22,Light Industrial,1898.1210338
2012 / week:22,Education,285.484706614
2012 / week:23,Light Industrial,2038.90379654
2012 / week:23,Commercial Property,2258.23602434
2012 / week:23,Food Sales & Storage,462.319240313
2012 / week:23,Education,260.925602428
2012 / week:24,Food Sales & Storage,477.706872047
2012 / week:24,Commercial Property,2375.54987244
2012 / week:24,Education,257.512924172
2012 / week:24,Light Industrial,2120.04164317
2012 / week:25,Food Sales & Storage,498.93876766
2012 / week:25,Light Industrial,2128.20279688
2012 / week:25,Education,262.220855789
2012 / week:25,Commercial Property,2461.12829342
2012 / week:26,Education,256.605088325
2012 / week:26,Commercial Property,2453.98889372
2012 / week:26,Food Sales & Storage,487.361383801
2012 / week:26,Light Industrial,2074.50254168
2012 / week:27,Light Industrial,1995.46586712
2012 / week:27,Commercial Property,2263.80005955
2012 / week:27,Food Sales & Storage,509.243165243
2012 / week:27,Education,269.859678284
2012 / week:28,Food Sales & Storage,517.028122251
2012 / week:28,Light Industrial,2110.04904459
2012 / week:28,Commercial Property,2527.32282257
2012 / week:28,Education,260.244450244
2012 / week:29,Food Sales & Storage,507.084067314
2012 / week:29,Light Industrial,2205.37892411
2012 / week:29,Commercial Property,2537.84386759
2012 / week:29,Education,278.942555518
2012 / week:3,Food Sales & Storage,420.345448872
2012 / week:3,Commercial Property,2359.44880386
2012 / week:3,Education,275.879838429
2012 / week:3,Light Industrial,2025.68293835
2012 / week:30,Food Sales & Storage,502.582255258
2012 / week:30,Education,290.784472087
2012 / week:30,Commercial Property,2564.43832246
2012 / week:30,Light Industrial,2256.17990936
2012 / week:31,Commercial Property,2569.25967341
2012 / week:31,Food Sales & Storage,526.438583329
2012 / week:31,Education,300.877513
2012 / week:31,Light Industrial,2300.42548776
