week,industry,total
1,Education,245.560212122
1,Commercial Property,2008.32719581
1,Food Sales & Storage,421.071652122
1,Light Industrial,1762.4157548
2,Commercial Property,2249.39320925
2,Education,283.33870672
2,Food Sales & Storage,419.035906958
2,Light Industrial,1886.78232453
3,Light Industrial,2025.68293835
3,Commercial Property,2359.44880386
3,Education,275.879838429
3,Food Sales & Storage,420.345448872
4,Commercial Property,2332.99762417
4,Light Industrial,2004.18416602
4,Food Sales & Storage,423.404520883
4,Education,273.993340061
5,Commercial Property,2266.65279116
5,Light Industrial,2025.90311172
5,Food Sales & Storage,421.522816446
5,Education,274.55669537
6,Commercial Property,2310.31609702
6,Food Sales & Storage,421.82208747
6,Light Industrial,1960.91967065
6,Education,293.370011829
7,Commercial Property,2316.69415689
7,Education,278.265833325
7,Food Sales & Storage,418.551495143
7,Light Industrial,1971.7458151
8,Light Industrial,1953.97705039
8,Commercial Property,2270.09363792
8,Food Sales & Storage,420.516702697
8,Education,256.247315929
9,Commercial Property,2264.80393843
9,Food Sales & Storage,420.135484665
9,Light Industrial,1918.40824248
9,Education,253.41574485
10,Commercial Property,2228.56979473
10,Light Industrial,1936.71361178
10,Food Sales & Storage,422.012817776
10,Education,253.823559568
11,Commercial Property,2260.80175715
11,Education,238.949133483
11,Light Industrial,1985.54299273
11,Food Sales & Storage,428.082380461
12,Food Sales & Storage,427.269242786
12,Light Industrial,2018.87838957
12,Education,242.377507024
12,Commercial Property,2342.51864128
13,Education,256.268141247
13,Light Industrial,1982.4807092
13,Commercial Property,2226.39075258
13,Food Sales & Storage,424.210787607
14,Food Sales & Storage,420.755035264
14,Education,200.337310216
14,Commercial Property,2090.78194588
14,Light Industrial,1870.23673351
15,Food Sales & Storage,423.247424262
15,Commercial Property,2122.1566391
15,Education,241.125211496
15,Light Industrial,1917.91066173
16,Light Industrial,1949.538684
16,Commercial Property,2126.41414394
16,Food Sales & Storage,451.812255769
16,Education,255.413441268
17,Food Sales & Storage,438.914548117
17,Commercial Property,2127.67831808
17,Education,255.503931643
17,Light Industrial,1918.8845698
18,Food Sales & Storage,446.805874461
18,Commercial Property,2265.54449481
18,Education,283.666232374
18,Light Industrial,2017.72290536
19,Light Industrial,1942.08580671
19,Education,285.129939208
19,Food Sales & Storage,451.98763151
19,Commercial Property,2217.12765727
20,Commercial Property,2315.0226834
20,Food Sales & Storage,456.27724752
20,Education,303.253801656
20,Light Industrial,1970.55654023
21,Education,306.99641479
21,Light Industrial,1998.13373251
21,Commercial Property,2271.61571509
21,Food Sales & Storage,469.511080394
22,Food Sales & Storage,478.375592171
22,Light Industrial,1898.1210338
22,Commercial Property,2036.82648958
22,Education,285.484706614
23,Commercial Property,2258.23602434
23,Food Sales & Storage,462.319240313
23,Light Industrial,2038.90379654
23,Education,260.925602428
24,Food Sales & Storage,477.706872047
24,Commercial Property,2375.54987244
24,Light Industrial,2120.04164317
24,Education,257.512924172
25,Education,262.220855789
25,Commercial Property,2461.12829342
25,Light Industrial,2128.20279688
25,Food Sales & Storage,498.93876766
26,Food Sales & Storage,487.361383801
26,Light Industrial,2074.50254168
26,Commercial Property,2453.98889372
26,Education,256.605088325
27,Commercial Property,2263.80005955
27,Education,269.859678284
27,Light Industrial,1995.46586712
27,Food Sales & Storage,509.243165243
28,Education,260.244450244
28,Commercial Property,2527.32282257
28,Food Sales & Storage,517.028122251
28,Light Industrial,2110.04904459
29,Commercial Property,2537.84386759
29,Education,278.942555518
29,Light Industrial,2205.37892411
29,Food Sales & Storage,507.084067314
30,Light Industrial,2256.17990936
